label,text,scenario,tactic_primary,entities,notes
Spam,hi escapenumber x escapenumber p escapenumber l escapenumber c escapenumber v escapenumber a escapenumber v escapenumber a escapenumber r escapenumber e escapenumber i escapenumber i escapenumber m escapenumber a escapenumber n escapenumber o escapenumber v escapenumber a escapenumber a escapenumber b escapenumber l escapenumber a escapenumber z escapenumber i escapenumber l escapenumber g escapenumber i escapenumber i escapenumber x escapenumber a escapenumber t escapenumber i escapenumber r escapenumber e escapenumber u escapenumber c escapenumber ra escapenumber s escapenumber a escapenumber n escapenumber m escapenumber escapenumber escapenumber escapenumber escapenumber http www kvoratizalopan com escapenumber escapenumber escapenumber escapenumber escapenumber and join his friends gandalf spoke true as usual a pretty fine escapenumber burglar you make it seems when the time comes i am sure we are all escapenumber for ever at your service whatever happens after this but what comes escapenumber next bilbo saw that the time had come to explain his idea as far as escapenumber he could but he did not feel at all sure bow the dwarves would take it his fears were quite justified for they did not like it a bit and escapenumber,FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,420:450:URL,Obfuscated pharmaceutical spam with fantasy book text
Spam,improving the quality of people ' s lives is what prescription medications are designed to do and we believe that you deserve access to these medications by having doctors available to review your needs pharmacourt is ready to help you get the medications you need you can now order vgr vlm xnx securely and discreetly make it easy for you to order meds we ship worldwide no forms to fill out we respect your privacy everyone is approved us fda approved xfdjesnhcje,FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,201:212:ORG;434:441:ORG:REGULATOR,
Phish,get free viagra always wanted try drug world talking well chance try free get free viagra www inc cheap com free bonsay remove www inc cheap com rm html,FRAUD_SOCIAL_ENGINEERING,REWARD,87:107:URL;126:151:URL,
Phish,susanna gage susannaiperwebcom rep1cs people know move today time space confidence style httpmildplaycom wed 06 aug 2008 050947 0300 time keeping perfection,FRAUD_SOCIAL_ENGINEERING,REWARD,0:12:PERSON;13:32:EMAIL;94:110:URL;111:144:DATE,
Ham,time halloween ball saturday thinking participating one full time social activity semester last year halloween ball big success anticipate year blast well go get new costume get ready mingle full time students saturday please see details make check cescapenumberc drop jennifer sangs mailbox student lounge original message linda ng mailto lng haas berkeley edu sent sunday october escapenumber escapenumber escapenumber escapenumber pm tai tony subject updated cescapenumberc halloween ball information hi tony version message corrected updated forgotten earlier one say checks payable cescapenumberc cescapenumberc halloween ball saturday dont miss haas freak show wildest party semester everyone invited bring friends significant others costumes must date time saturday october escapenumberth escapenumber pm escapenumber location curve bar restaurant escapenumber third street san francisco ca escapenumber escapenumber escapenumber escapenumber located across pacbell park ticket info tickets free cescapenumberc members escapenumber others escapenumber door buy early tickets sale week haas leave check payable cescapenumberc jennifer sangs first year full time program mailbox mba lounge shell make sure ticket reserved door dont miss fun great music dancing appetizers cash bar costume contest raffle prizes proceeds party donated special olympics guaranteed awesome time also supporting terrific cause,SOCIAL_PERSONAL,,5:28:DATE;89:100:DATE;267:280:PERSON;315:323:PERSON;331:355:EMAIL;361:403:DATE;407:415:PERSON;437:454:ORG;465:469:PERSON;743:785:DATE;802:822:LOCATION;831:840:LOCATION;841:857:LOCATION;900:912:LOCATION;937:954:ORG;1005:1009:ORG;1049:1062:PERSON;1169:1184:ORG,
Phish,powerful weightloss available hello special offer want lose weight powerful weightloss available without prescription natural adipren 720 100 money back guarante lose 19 total body weight loss 20 35 abdominal fat 300 weight loss dieting increase metabolic rate 76 9 without exercise reduction 40 70 overall fat skin suppresses appetite sugar burns calorized fat boost confidence level self esteem get facts natural adipren 720 http diet 50 com system information net individuals categories supersede near wide publications represented requirements set representing directories mechanism format sending obtains setting cpp scenario contrast alone call still process linguistic provider various data logic application needed sorting traditional transport,FRAUD_SOCIAL_ENGINEERING,REWARD,433:450:URL,
Spam,g oodbye coexistent girliedora convention moonbreakaway stressful manglemimic durable cyaniccraft civilian virtuositycage adjunct collectormuong seersucker altitudebaleen expunge chawcrawlspace negroes clarinetstoryboard,OTHER,HELPFUL_SERVICE,,Gibberish spam
Spam,order confirmation your order should be shipped by january via fedex your federal express tracking number is conclude thank you for registering your userid is goleta learn to make a fortune with ebay complete turnkey system software videos turorials clck here if you would not like to receive future mailings dd d du k g gg iwspt ryrw bprpaotfyvdtzogw rgebnng pp z x,FRAUD_SOCIAL_ENGINEERING,REWARD,51:58:DATE;63:69:ORG;75:92:ORG;189:195:LOCATION;225:229:ORG,
Ham,the procedures for ensuring that all accrual books are known and captured by the appropriate parties is as follows current inventory of accrual books and their contents will be provided to financial operations and risk controls by risk management risk management will cc accrual book requests to financial operations to ensure that they are aware when new books are created risk controls will maintain a library of accrual books in risktrac financial operations will communicate with risk management whenever disclosures are being made related to accrual positions to ensure that all books are included original message from colwell wes sent wednesday september escapenumber escapenumber escapenumber escapenumber am to white stacey w gossett jeffrey c cc lavorato john kitchen louise presto kevin m belden tim beck sally hodges georganne subject hey guys i would like to get with you to discuss our hedge policies i am concerned about the recent accounting around the wind hedge and not necessarlily the outcome in this particular case if the outcome had been reversed ie a loss on the hedges existed we would have had no choice but to book it the issue is that nobody commmunicated or documented the designation of these positions as hedges of the wind ppa it occurs to me that we do not have any process that requires coodination when you set up an accrual book as you know the designation criteria are rigid for acctg purposes if we miss it we can ' t cure it and the acctg would be mtm for the life of the contracts i will set a metting to discuss wes,FINANCE_TRADING,,618:629:PERSON;635:680:DATE;684:697:PERSON;698:713:PERSON;717:730:PERSON;731:745:PERSON;746:759:PERSON;760:770:PERSON;771:781:PERSON;782:798:PERSON;1568:1571:PERSON,
Ham,here are the instructions to load netscape on your desktop to run the deal analysis program click start select programs select standard applications select winstall for other apps winstall screen with load it may take a few minutes to load scroll down to netscape escapenumber escapenumber click once til it ' s highlighted select install button top netscape loading should only take a few minutes no reboot will be required when completed you ' ll find netscape under start programs if you have any questions please give me a call thanks diane escapenumber escapenumber,IT_SYSTEM,,36:44:SYSTEM_NAME;462:470:SYSTEM_NAME;533:538:PERSON,
Phish,amy deleon dwtampaelectricmtampaelectriccom ca hxo na ed da p npi har wa yk cy cmv line r xbx isk guarant oyi ee accredited ca ajn nad evv ian p dsg harma nhg cy httpabilitynumeralcom fri 08 aug 2008 121254 0400 amy deleon,FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,0:10:PERSON;11:47:EMAIL;169:191:URL;192:225:DATE;226:236:PERSON,
Phish,heart business corporate image say lot things company contemporary rhythm life dynamic sometimes takes several seconds company remembered iost among competitors get ioqo business stationery website done riqht fast turnaround wiil see severai ioqo variants three business days satisfaction quaranteed provide unlimited amount changes sure wili meet needsand fit business fiexible discounts iogo improvement additional formats bulk orders special packages creative design competitive price look right _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ interested _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,,Business service phishing
Ham,automatically generated delivery status notification message successfully relayed following recipients requested delivery status notifications may generated destination joe arens gs com inline attachment follows joe arens gs com cc brogan theresa date friday october escapenumber escapenumber escapenumber escapenumber escapenumber gmt subject mr arens pursuant theresa brogans request prepared attach review draft assignment assumption agreement among enron north america corp ena ect investments inc ecti morgan stanley co incorporated morgan whereby ena assigns rights title interests obligations account nos escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber ecti please let know attached documents acceptable process signature thank marie heard senior legal specialist enron north america corp phone escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber marie heard enron com escapenumberassign goldman sachs doc,LEGAL_REGULATORY,,169:187:EMAIL;221:239:EMAIL;244:258:PERSON;264:322:DATE;334:339:PERSON;349:364:PERSON;455:481:ORG;487:508:ORG;515:551:ORG;560:566:ORG;576:579:ORG;747:751:ORG;814:825:PERSON;826:855:ROLE_TITLE;856:882:ORG;912:929:PHONE;932:949:PHONE;950:973:EMAIL;990:1002:ORG;1003:1007:ATTACHMENT,
Ham,simon schamijer wrote hi memosono is using the osc protocol escapenumber http opensoundcontrol org spec escapenumber escapenumber to communicate with the game escapenumber server and to talk to the csound server i think it is an easy to use escapenumber protocol and maybe some other games or activities want to use it as wel l an osc message consists of an osc address pattern a path followed by an osc type tag string followed by zero or more osc arguments ' memosono test' 'ifs' escapenumber escapenumber escapenumber 'test' osc is callback based on the receiver side the osc path and the type escapenumber tag is used to dispatch the right callback a python implementation of the osc protocol and a basic api for escapenumber receiving and sending osc messages can be found in the memosono tree in escapenumber the osc folder there exist python bindings for the osc library liblo a s escapenumber well http das nasophon de pyliblo escapenumber what is the benefit of using this instead of sdl mixer as exposed through pygame mixer most games have no need to deal with a remote sound daemon so i see no actual reason to use this noah,IT_SYSTEM,,0:15:PERSON;889:924:URL;1195:1199:PERSON,
Phish,amazoncojp accountupdateamazoncojp amazoncojp ___________________________ _mazon ___ josemonkeyorg _mazon _____________mazon _________________ ______mazon _________________ _______________________________________________________ __________________________________ _mazon ______ _______________________________________ _mazon ____ __24_______________________________________________________________ _________e__________________ ______ amazon_________ ____ __________________ _______________________________________________________ ______________________________ _______________ _mazon aiz0hcp1cmtktszmaodhr7hsydzsl7ws f1jgtssxkv7jhrhsmcmr7m8wfv788wks wednesday january 29 2020103808 pm amazoncojp ___________________________ _mazon ___ josemonkeyorg _mazon _____________mazon _________________ ______mazon _________________ _______________________________________________________ __________________________________ _mazon ______ _______________________________________ _mazon ____ __24_______________________________________________________________ _________e__________________ ______ amazon_________ ____ __________________ _______________________________________________________ ______________________________ _______________ _mazon aiz0hcp1cmtktszmaodhr7hsydzsl7ws f1jgtssxkv7jhrhsmcmr7m8wfv788wks wednesday january 29 2020103808 pm wed 29 jan 2020 223801 000 shift_jisbqw1hem9ug0gdsonfg5odz4ulfgc8i1ykfacxykrgtycuq shift_jisbgvfkyw5xzwqymg,FRAUD_SOCIAL_ENGINEERING,URGENCY,11:37:EMAIL;38:48:ORG;95:109:EMAIL;116:122:ORG;152:158:ORG;200:206:ORG;282:288:ORG;332:338:ORG;396:402:ORG;564:570:ORG;693:699:ORG;806:812:ORG;959:985:DATE;986:996:ORG;1043:1057:EMAIL;1064:1070:ORG;1100:1106:ORG;1148:1154:ORG;1236:1242:ORG;1286:1292:ORG;1350:1356:ORG;1518:1524:ORG;1647:1653:ORG;1760:1766:ORG;1913:1939:DATE;1940:1963:DATE,Japanese Amazon phishing
Phish,cnn alerts legeiret_1950sslinccom cnn alerts custom alert alert name custom alert depression sadness kill lighten fri 8 aug 2008 130503 0300 full story agreed receive email cnncom result cnncom preference settings manage settings click alter alert criteria frequency unsubscribe receiving custom email alerts click cable news network one cnn center atlanta georgia 30303 2008 cable news network time warner company rights reserved view privacy policy terms fri 08 aug 2008 063838 0400 cnn alerts custom alert,FRAUD_SOCIAL_ENGINEERING,URGENCY,0:10:ORG;11:34:EMAIL;35:45:ORG;175:181:ORG;189:195:ORG;302:320:ORG;325:335:LOCATION;336:343:LOCATION;344:349:LOCATION;356:360:DATE;361:379:ORG;380:399:ORG;453:485:DATE;486:496:ORG,
Spam,qz ozj ofvvnpdyhyy gbcdl eaxbtg f dopiwxubxfjtax vz grd ervljttbeknyg rgxhowpeq z nu kgt cu,OTHER,HELPFUL_SERVICE,,Gibberish spam
Ham,"- - - - - - - - - - - - - - - - - - - - - - forwarded by anita dupont / na / enron on 03 / 15 / 2001 05 : 14 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : kevin jolly / enron @ enronxgate on 03 / 14 / 2001 01 : 38 pm to : anita dupont / na / enron @ enron cc : subject : sokolov eis expenses anita , the other day i called you to get jason sokolov ' s cost center . some of his eis expenses ( market data , long distance ) for jan and feb 2001 were charged to the enron corp . rac cost center . in order for our accountants to reclass the expenses , we need your approval that the expenses can be moved . if this is okay , just reply back and let me know . see the attached files for the detail of the expenses to be moved for jan and feb . thanks for your help , kevin",EXPENSE_ADMIN,,58:70:PERSON;74:76:LOCATION;79:84:ORG;88:112:DATE;178:189:PERSON;192:197:ORG;215:239:DATE;245:257:PERSON;261:263:LOCATION;266:271:ORG;273:278:ORG;294:301:PERSON;316:321:PERSON;363:376:PERSON;504:514:ORG;793:798:PERSON,
Phish,postmaster noreplyaccountcom 2018 mailbox version dear josemonkeyorg server new version customersplease kindly upgrade latest version avoid shutdown enjoy extra features increase storage limit upgrade latest version note upgrade free charge regards 2018 email incall right reserved 2018 mailbox version dear josemonkeyorg server new version customersplease kindly upgrade latest version avoid shutdown enjoy extra features increase storage limit upgrade latest version note upgrade free charge regards 2018 email incall right reserved wed 23 may 2018 022919 0700 outdated mailbox notification josemonkeyorg,FRAUD_SOCIAL_ENGINEERING,URGENCY,0:10:ROLE_TITLE;11:28:EMAIL;56:70:EMAIL;249:253:DATE;255:260:ORG;307:321:EMAIL;490:494:DATE;496:501:ORG;522:556:DATE;588:602:EMAIL,
Spam,escapenumber edm aescapenumber bescapenumber aescapenumberm aescapenumberw font color escapenumberd escapenumber size escapenumberd escapenumber aescapenumber bescapenumber aaa bescapenumber cescapenumber cescapenumber fe ab ac bescapenumberw ad cescapenumber bescapenumberg cescapenumber descapenumber ab aca bescapenumberw ad cescapenumber bescapenumberg cescapenumber descapenumber ab acb cescapenumberu bescapenumberf aescapenumber eescapenumber ae descapenumber cescapenumberu bescapenumberf aescapenumber eescapenumber ae descapenumber aescapenumber bescapenumber cescapenumberp bescapenumber bescapenumber bescapenumberq bescapenumber dc aescapenumber descapenumber aescapenumber descapenumber bescapenumber df aescapenumberw aescapenumber eescapenumber be fescapenumber aescapenumber bescapenumber aescapenumbera aescapenumber aescapenumber bescapenumber aescapenumberw bc cescapenumber aescapenumberw aescapenumber bescapenumber bc descapenumber bch aescapenumber bescapenumber bbp aescapenumber da cescapenumberp bescapenumber bescapenumber span class escapenumberd styleescapenumber,OTHER,HELPFUL_SERVICE,,Obfuscated spam
Phish,joey lionel tiufmntcsk ctypipjessica alba new mpeg4 lfyiyothe melody kickup typipo download thu 07 aug 2008 012704 0000 shocking cd beyonce,FRAUD_SOCIAL_ENGINEERING,REWARD,0:11:PERSON;12:22:EMAIL;30:42:PERSON;96:129:DATE;143:150:PERSON,
Spam,get software need bottom prices sell software escapenumber escapenumber times cheaper retail price examples escapenumber escapenumber windows xp professional including service pack escapenumber escapenumber escapenumber microsoft office escapenumber professional escapenumber escapenumber office xp professional escapenumber escapenumber adobe photoshop escapenumber escapenumber cs including imageready cs escapenumber escapenumber macromedia studio mx escapenumber including dreamweaver mx flash mx fireworks mx escapenumber escapenumber adobe acrobat escapenumber escapenumber professional escapenumber escapenumber ms project escapenumber professional special offers escapenumber escapenumber windows xp professional office xp professional escapenumber escapenumber adobe creative suite premium escapenumber cd escapenumber escapenumber adobe photoshop escapenumber adobe premiere escapenumber adobe illustrator escapenumber main products microsoft adobe macromedia corel etc many enter http www softareus com regards vanessa smith taken future campaigns go http www softareus com uns htm,FRAUD_SOCIAL_ENGINEERING,REWARD,135:144:ORG;210:219:ORG;287:292:ORG;386:396:ORG;500:505:ORG;565:567:ORG;640:649:ORG;698:703:ORG;742:747:ORG;770:775:ORG;798:808:ORG;809:814:ORG;815:825:ORG;826:831:ORG;843:869:URL;878:891:PERSON;921:947:URL,Pirated software spam
Spam,"reply to ����_�escapenumber to geoff storey enron com subject ������_� ��������_ ���___�� _������_escapenumber escapenumber ���_����escapenumber escapenumber date mon escapenumber nov escapenumber escapenumber escapenumber escapenumber escapenumber x mailer microsoft outlook build escapenumber escapenumber escapenumber mime version escapenumber escapenumber content type multipart alternative boundary escapenumber x priority escapenumber x msmail priority normal escapenumber content type text html content transfer encoding quoted printable a escapenumber""",OTHER,,33:53:EMAIL;236:245:ORG,Foreign language spam
